movie_name,movie_Genre,movie_poster,movie_poster_url,movie_director,movie_amount,movie_cast_members_name,movie_release_date,movie_runtime
Beasts of No Nation,War drama,https://upload.wikimedia.org/wikipedia/en/c/cf/Beasts_of_No_Nation_poster.jpg,https://en.wikipedia.org/wiki/File:Beasts_of_No_Nation_poster.jpg,Cary Joji Fukunaga,$6 million,Abraham Attah as Agu,16-Oct-15,"2 hours, 16 min."
Beasts of No Nation,War drama,https://upload.wikimedia.org/wikipedia/en/c/cf/Beasts_of_No_Nation_poster.jpg,https://en.wikipedia.org/wiki/File:Beasts_of_No_Nation_poster.jpg,Cary Joji Fukunaga,$6 million,Idris Elba as Commandant,16-Oct-15,"2 hours, 16 min."
Beasts of No Nation,War drama,https://upload.wikimedia.org/wikipedia/en/c/cf/Beasts_of_No_Nation_poster.jpg,https://en.wikipedia.org/wiki/File:Beasts_of_No_Nation_poster.jpg,Cary Joji Fukunaga,$6 million,Ama K. Abebrese as Mother[10],16-Oct-15,"2 hours, 16 min."
Beasts of No Nation,War drama,https://upload.wikimedia.org/wikipedia/en/c/cf/Beasts_of_No_Nation_poster.jpg,https://en.wikipedia.org/wiki/File:Beasts_of_No_Nation_poster.jpg,Cary Joji Fukunaga,$6 million,Kobina Amissa-Sam as Father[10],16-Oct-15,"2 hours, 16 min."
Beasts of No Nation,War drama,https://upload.wikimedia.org/wikipedia/en/c/cf/Beasts_of_No_Nation_poster.jpg,https://en.wikipedia.org/wiki/File:Beasts_of_No_Nation_poster.jpg,Cary Joji Fukunaga,$6 million,Emmanuel Nii Adom Quaye as Strika,16-Oct-15,"2 hours, 16 min."
Beasts of No Nation,War drama,https://upload.wikimedia.org/wikipedia/en/c/cf/Beasts_of_No_Nation_poster.jpg,https://en.wikipedia.org/wiki/File:Beasts_of_No_Nation_poster.jpg,Cary Joji Fukunaga,$6 million,Kurt Egyiawan as 2nd I-C,16-Oct-15,"2 hours, 16 min."
Beasts of No Nation,War drama,https://upload.wikimedia.org/wikipedia/en/c/cf/Beasts_of_No_Nation_poster.jpg,https://en.wikipedia.org/wiki/File:Beasts_of_No_Nation_poster.jpg,Cary Joji Fukunaga,$6 million,Jude Akuwudike as Dada Goodblood,16-Oct-15,"2 hours, 16 min."
Beasts of No Nation,War drama,https://upload.wikimedia.org/wikipedia/en/c/cf/Beasts_of_No_Nation_poster.jpg,https://en.wikipedia.org/wiki/File:Beasts_of_No_Nation_poster.jpg,Cary Joji Fukunaga,$6 million,Grace Nortey[10] as Old Witch Woman,16-Oct-15,"2 hours, 16 min."
Beasts of No Nation,War drama,https://upload.wikimedia.org/wikipedia/en/c/cf/Beasts_of_No_Nation_poster.jpg,https://en.wikipedia.org/wiki/File:Beasts_of_No_Nation_poster.jpg,Cary Joji Fukunaga,$6 million,David Dontoh as Linguist[10],16-Oct-15,"2 hours, 16 min."
Beasts of No Nation,War drama,https://upload.wikimedia.org/wikipedia/en/c/cf/Beasts_of_No_Nation_poster.jpg,https://en.wikipedia.org/wiki/File:Beasts_of_No_Nation_poster.jpg,Cary Joji Fukunaga,$6 million,Opeyemi Fagbohungbe as Sergeant Gaz[11],16-Oct-15,"2 hours, 16 min."
Beasts of No Nation,War drama,https://upload.wikimedia.org/wikipedia/en/c/cf/Beasts_of_No_Nation_poster.jpg,https://en.wikipedia.org/wiki/File:Beasts_of_No_Nation_poster.jpg,Cary Joji Fukunaga,$6 million,Teibu Owusu Acheampong as Preacher[10],16-Oct-15,"2 hours, 16 min."
The Ridiculous 6,Western,https://upload.wikimedia.org/wikipedia/en/thumb/0/0d/The_Ridiculous_6_poster.jpg/220px-The_Ridiculous_6_poster.jpg,https://en.wikipedia.org/wiki/File:The_Ridiculous_6_poster.jpg,Frank Coraci,$60 million,The Ridiculous 6 on Netflix,11-Dec-15,"1 hour, 59 min."
