movies_name,movies_genre,movies_release_date,movies_run_time,movies_poster,movies_poster_url,movies_director,movies_starring_name
Ghost Stories,Horror,1-Jan-20,"2 hours, 24 min.",https://upload.wikimedia.org/wikipedia/en/thumb/b/b4/Ghost_Stories_2020_Poster.jpg/220px-Ghost_Stories_2020_Poster.jpg,https://en.wikipedia.org/wiki/File:Ghost_Stories_2020_Poster.jpg,"Karan Johar, Dibakar Bane, Anurag Kashyaprjee, Zoya Akhtar",Janhvi Kapoor
Ghost Stories,Horror,1-Jan-20,"2 hours, 24 min.",https://upload.wikimedia.org/wikipedia/en/thumb/b/b4/Ghost_Stories_2020_Poster.jpg/220px-Ghost_Stories_2020_Poster.jpg,https://en.wikipedia.org/wiki/File:Ghost_Stories_2020_Poster.jpg,"Karan Johar, Dibakar Bane, Anurag Kashyaprjee, Zoya Akhtar",Surekha Sikri
Ghost Stories,Horror,1-Jan-20,"2 hours, 24 min.",https://upload.wikimedia.org/wikipedia/en/thumb/b/b4/Ghost_Stories_2020_Poster.jpg/220px-Ghost_Stories_2020_Poster.jpg,https://en.wikipedia.org/wiki/File:Ghost_Stories_2020_Poster.jpg,"Karan Johar, Dibakar Bane, Anurag Kashyaprjee, Zoya Akhtar",Vijay Varma
Ghost Stories,Horror,1-Jan-20,"2 hours, 24 min.",https://upload.wikimedia.org/wikipedia/en/thumb/b/b4/Ghost_Stories_2020_Poster.jpg/220px-Ghost_Stories_2020_Poster.jpg,https://en.wikipedia.org/wiki/File:Ghost_Stories_2020_Poster.jpg,"Karan Johar, Dibakar Bane, Anurag Kashyaprjee, Zoya Akhtar",Sobhita Dhulipala as Neha
Ghost Stories,Horror,1-Jan-20,"2 hours, 24 min.",https://upload.wikimedia.org/wikipedia/en/thumb/b/b4/Ghost_Stories_2020_Poster.jpg/220px-Ghost_Stories_2020_Poster.jpg,https://en.wikipedia.org/wiki/File:Ghost_Stories_2020_Poster.jpg,"Karan Johar, Dibakar Bane, Anurag Kashyaprjee, Zoya Akhtar",Sagar Arya as Neha's husband
Ghost Stories,Horror,1-Jan-20,"2 hours, 24 min.",https://upload.wikimedia.org/wikipedia/en/thumb/b/b4/Ghost_Stories_2020_Poster.jpg/220px-Ghost_Stories_2020_Poster.jpg,https://en.wikipedia.org/wiki/File:Ghost_Stories_2020_Poster.jpg,"Karan Johar, Dibakar Bane, Anurag Kashyaprjee, Zoya Akhtar",Zachary Braz as Ansh
Ghost Stories,Horror,1-Jan-20,"2 hours, 24 min.",https://upload.wikimedia.org/wikipedia/en/thumb/b/b4/Ghost_Stories_2020_Poster.jpg/220px-Ghost_Stories_2020_Poster.jpg,https://en.wikipedia.org/wiki/File:Ghost_Stories_2020_Poster.jpg,"Karan Johar, Dibakar Bane, Anurag Kashyaprjee, Zoya Akhtar",Pavail Gulati as Ansh's father
Ghost Stories,Horror,1-Jan-20,"2 hours, 24 min.",https://upload.wikimedia.org/wikipedia/en/thumb/b/b4/Ghost_Stories_2020_Poster.jpg/220px-Ghost_Stories_2020_Poster.jpg,https://en.wikipedia.org/wiki/File:Ghost_Stories_2020_Poster.jpg,"Karan Johar, Dibakar Bane, Anurag Kashyaprjee, Zoya Akhtar",Sukant Goel as Visitor
Ghost Stories,Horror,1-Jan-20,"2 hours, 24 min.",https://upload.wikimedia.org/wikipedia/en/thumb/b/b4/Ghost_Stories_2020_Poster.jpg/220px-Ghost_Stories_2020_Poster.jpg,https://en.wikipedia.org/wiki/File:Ghost_Stories_2020_Poster.jpg,"Karan Johar, Dibakar Bane, Anurag Kashyaprjee, Zoya Akhtar",Aditya Shetty as Little Boy
Ghost Stories,Horror,1-Jan-20,"2 hours, 24 min.",https://upload.wikimedia.org/wikipedia/en/thumb/b/b4/Ghost_Stories_2020_Poster.jpg/220px-Ghost_Stories_2020_Poster.jpg,https://en.wikipedia.org/wiki/File:Ghost_Stories_2020_Poster.jpg,"Karan Johar, Dibakar Bane, Anurag Kashyaprjee, Zoya Akhtar",Eva Ameet Pardeshi as Little Girl
